StartDate,EndDate,ANONYMIZED_1,ANONYMIZED_2,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ANONYMIZED_3,ANONYMIZED_4,ANONYMIZED_5,ANONYMIZED_6,ANONYMIZED_7,ANONYMIZED_8,DistributionChannel,UserLanguage,Q2_1,PID,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q80,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q47,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q81,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q62_First Click,Q62_Last Click,Q62_Page Submit,Q62_Click Count,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q75,Q83,Q85,Q72,Q73,Q82,SC0,ANONYMIZED_9,AttentionCheck
26/06/2021 23:23,26/06/2021 23:46,ANONYMIZED,ANONYMIZED,100,1390,TRUE,26/06/2021 23:46,R_efmAfiD12teMC4x,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,211,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,2.533,63.607,64.877,3,Iroh is playing a game while his nephew is demanding the ship head towards the strong light source where he thinks the Avatar is.,3,4,2,3,1,3,7.363,188.668,191.921,2,4,1,2,4,2,3,13.659,126.721,128.232,4,4,3,4,3,1,4,"I think Iroh is wise, he seems very calm and collected. He's not excitable like his nephew is. He seems to know how to handle what's going to happen.",2.484,31.59,70.841,4,Katara is trying to convince the avatar that what happened is not his fault and that they will take care of him.,2,7,1,5,3,1,2.54,102.586,103.351,3,1,6,1,5,2,1,8.065,112.42,113.117,2,3,7,2,5,4,1,"For the most part, she's wise. In the last scene she let's her emotions get the best of her and she's angry, but in the other scenes, she's calm, reasonable and level headed.",49,Female,no comments,no technical issues,"I'm not sure, are you trying to see how we evaluate people as they are confronted with challenging situations?",0,ANONYMIZED,1
26/06/2021 23:32,26/06/2021 23:53,ANONYMIZED,ANONYMIZED,100,1270,TRUE,26/06/2021 23:53,R_POO95vlO07W7maB,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,3,212,I do not know the answer to this question.,I do not know the answer to this question.,"They are elected by a powerful council, consisting of representatives from the four Nations.",The south and north poles,Takes away his bending,I do not know the answer to this question.,not fond of fiction nor demons,no idea,0,0,61.983,0,ridiculous evil fiction,4,4,4,4,4,4,0,0,72.401,0,7,1,1,4,4,5,0,0,65.286,0,7,1,5,4,2,7,fake cartoons bite0 intererest fine I hate lies and grotequeque cartoons,0,0,70.73,0,evivil and hatred,3,3,4,4,4,2,0,0,110.881,0,4,7,7,7,1,4,0,0,138.704,0,3,6,2,6,2,1,smart helpful mature wise helpful I said wise w/e so fine lets fill space over obvious,60,Male,nadda,nerp,don't care posit bit,1,ANONYMIZED,0
26/06/2021 23:41,27/06/2021 00:01,ANONYMIZED,ANONYMIZED,100,1208,TRUE,27/06/2021 00:01,R_1IENJw8Ml8sUnde,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,3,213,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I don't recall,I don't remember,3.129,3.129,61.486,1,Iroh was playing a game and trying to calm his nephew down with some jasmine tea,2,4,3,5,3,3,4.92,8.488,96.237,3,3,4,3,4,2,4,3.063,3.063,103.816,1,3,3,2,2,2,5,I felt he was wise because he tried to balance his nephew's hot temper with a mellowed and relaxed attitude to offset it,6.497,6.497,63.736,1,The last Airbender realizes that he is the last one and is upset and about to destroy something but Katara talks him out of the anger with love and support ,1,6,1,6,1,1,3.339,3.339,92.339,1,1,6,1,7,1,1,8.809,8.809,109.175,1,2,6,4,6,6,2,She is wise and understanding.  She acknowledges the problem but provides helpful scenarios to solve or alleviate the situation.,43,Female,interesting study!,none,perhaps perceptions of wisdom or caring between male and female,0,ANONYMIZED,1
26/06/2021 23:09,27/06/2021 00:09,ANONYMIZED,ANONYMIZED,100,3602,TRUE,27/06/2021 00:09,R_4TQ8wBWRDXybAtP,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,214,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,8.751,113.165,114.195,36,The nephew wants to rush to where he saw the light. His uncle feels they should proceed slowly ,1,3,3,7,1,3,5.671,25.081,118.273,11,1,2,1,6,1,4,3.036,76.406,78.986,46,1,5,1,6,1,1,I roh seems wise due to his calm demeanor and his preference for waiting to pass judgment rather than rushing headlong into the unknown. ,1.595,14.823,112.008,9,"The boy was angry, Katana was calm and comforting to him. ",1,5,1,7,1,1,2.932,18.128,116.985,4,1,6,1,7,1,1,62.379,226.407,227.525,16,4,6,4,6,7,3,Katana is wise in that she challenges authority to get the teachings she wants and is able to calm and comfort her friend with her wise words and peaceful demeanor. ,52,Female,,,Something to do with traditional gender roles,0,ANONYMIZED,1
26/06/2021 23:44,27/06/2021 00:12,ANONYMIZED,ANONYMIZED,100,1649,TRUE,27/06/2021 00:12,R_2AE9ERCZj0Z5RIx,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,215,Aang,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,7.215,68.301,69.083,5,It has iroh and another younger character they were on a ship and one was upset and the older character was trying to calm him down,3,5,3,5,3,3,4.354,159.698,160.508,5,3,3,2,5,2,3,4.003,128.997,137.553,41,3,5,2,6,2,3,"It seems like they're trying to portray him as the wise older character that I am not familiar with the series at all only from what I saw it here I would tend to think he's supposed to be wise, as he keeps trying to give you his nephew advice and to help him calm down",4.672,114.605,115.91,5,It was a girl named Katara and another boy and they were trying to talk to the other young boy and tell him he's not alone now and they are his family,2,6,2,5,3,2,2.701,245.57,246.493,22,3,5,2,5,2,2,1.983,223.52,224.451,7,3,6,3,5,4,3,"From my brief look at Katara and not being familiar with the series, looks like she is wise in her three scenes as she is helping to guide and give advice to the younger Avatar and to help cheer him up also",41,Female,,,I really dont know,1,ANONYMIZED,1
26/06/2021 23:30,27/06/2021 00:16,ANONYMIZED,ANONYMIZED,100,2800,TRUE,27/06/2021 00:16,R_2dZwrmGifT5vMjS,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,216,Aang,I do not know the answer to this question.,"They are reincarnated from the previous Avatar, cycling between Nations over time.",I do not know the answer to this question.,Takes away his bending,Mark the arrival of a new Avatar,,,0,0,97.992,0,"Iroh was chilling and wanted his nephew to join him for some coffee, but he was too busy wanting to go. He had a plan! ",4,2,3,3,2,6,0,0,161.178,0,6,1,3,2,2,6,0,0,252.971,0,2,6,4,5,4,2,"I guess at this point, I think he was unwise. I am not exactly sure of whats going on but I am pretty sure they have something important to accomplish. Iroh seems to be more relaxed and wants to be laid back and chill. He could probably do that for longer, AFTER he gets the important info accomplished. ",0,0,81.082,0,Katara comforted him,3,5,2,6,2,2,0,0,145.404,0,2,5,2,6,2,2,0,0,219.13,0,1,7,1,6,4,2,"I believe she is wise! On a few occasions she talked sensible to the guy, trying to get him to see what needs to be done. She remained positive, despite the obstacles they dealt with. She knew there was a goal and there was only 1 way to do it...get it done regardless!",56,Female,"Now, I am all interested. I can bet my son knows all about this series! I watched some scenes more than once",none,,4,ANONYMIZED,1
26/06/2021 23:57,27/06/2021 00:24,ANONYMIZED,ANONYMIZED,100,1589,TRUE,27/06/2021 00:24,R_AcedUJtysgqA8s9,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,217,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,4.496,4.496,63.915,1,The uncle was playing tiles while the boy was anxious to head to the light in the distance.,2,4,2,3,2,4,12.241,12.241,97.959,1,3,4,5,5,6,5,0,0,121.651,0,6,5,5,4,4,5,He does seem wise and laid back. He knows how to relax and offers some good advice which is ignored.,18.963,18.963,77.401,1,Katara and her friend tell the last air bender that they will be his family.. He changes from a force to a child. ,2,6,1,6,4,2,6.083,6.083,94.362,1,2,6,1,6,3,2,5.226,5.226,111.806,1,6,2,3,2,3,4,Katara seems very kind and loving. She treats the last air bender so tenderly and she helps him to understand that nature still exists and she show this by handing him an acorn and reminding him that the acorns around them will create a forest and the animals and birds will return. ,65,Male,I might just start watching this show. It looks interesting. ,None,If we recognize certain emotions and feelings even in cartoon characters.,0,ANONYMIZED,1
27/06/2021 00:05,27/06/2021 00:28,ANONYMIZED,ANONYMIZED,100,1363,TRUE,27/06/2021 00:28,R_7aB8EAcW43MGUWR,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,218,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,12.801,12.801,78.328,1,the uncle is playing a game while the nephew is on the trail of the avatar (by ship).,3,3,2,5,3,4,0,0,107.925,0,2,4,3,5,2,4,0,0,154.608,0,3,4,3,5,3,4,"I think he is a wise person, but often misunderstood due to the disparity between his wise actions and the impulses of his nephew.",0,0,70.446,0,"Katara is trying to calm down/ reason with the 3rd character (didn't catch the name), assuring him that he will always have a family in her even if he has lost his own.",2,6,2,6,2,2,8.619,8.619,106.524,1,2,6,2,6,2,2,6.719,6.719,111.06,1,2,6,2,6,2,2,"She appears to be wise beyond her years, confronts situations with a high degree of maturity.",60,Male,none,none,no idea,0,ANONYMIZED,1
27/06/2021 01:01,27/06/2021 01:34,ANONYMIZED,ANONYMIZED,100,1964,TRUE,27/06/2021 01:34,R_1gHBQ5kufDQ4HNk,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,1,219,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,10.221,80.191,82.094,4,An obnoxious young dude is standing up and bitching about strategy while Iroh is chilling out and playing what looks like a game of mahjong. ,1,7,1,7,1,1,7.651,96.471,97.713,4,1,4,1,7,1,1,9.089,123.457,124.952,7,2,7,1,7,1,1,"I'll have what Iroh is smoking! Which is to say, given the situations and the hissy-fits of Prince Racoon Eye, it's clear to me that Iroh Buddha-belly is like the I-Ching's Superior Man and a supreme tactician. ",7.649,70.017,71.166,3,Katara and  her BF are standing around while another character of the series is descending into the scene. Katara offers her protection to this character and I sense that a three-some is in the offing.,1,7,1,7,1,1,6.228,98.279,99.429,2,1,7,1,7,1,1,9.596,113.011,114.067,3,1,7,1,7,1,1,"Dat ho got someting waaay wrong wit her EYES! But ok, she's behaving wisely in all three scenes, offering sage advice and overall wide-eyed helpfulness. Go girl! But why does she almost never blink?",66,Male,All your crappy series are belong to us. ,"Other than the impression of melting neurons, no technical issues.",How ready is the general public to uncritically acknowledge and accept deculturated idiot overlords. I'm sure that the results will prove frighteningly positive.  ,0,ANONYMIZED,1
26/06/2021 23:45,27/06/2021 03:15,ANONYMIZED,ANONYMIZED,100,12593,TRUE,27/06/2021 03:15,R_2ZX5ghy4txmajRa,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,ANONYMIZED,anonymous,EN,2,220,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,I do not know the answer to this question.,,,2.115,90.63,91.36,8,Iroh was reading something similar to tarot cards.,2,4,4,5,3,4,1.402,87.47,88.163,10,2,5,4,6,3,4,1.701,105.288,105.843,8,1,6,4,7,4,4,I believe that he is wise. He's doing things at a slower and different pace.,2.036,4348.007,4350.496,13,They promised he would never be alone. They were his family.,2,7,2,6,4,2,23.729,311.818,312.949,14,3,7,3,5,4,3,1.901,113.95,115.32,12,4,5,4,4,6,4,Katara is still learning and growing. But yes I believe she is wise.,57,Female,No,None,I honestly don't know.,0,ANONYMIZED,1
